label,left_elbow,right_elbow,left_knee,right_knee,shoulder_distance,left_arm_length,right_arm_length
no_exercise,143.04,133.1,135.07,150.41,0.2971,0.6069,0.7341
no_exercise,143.56,135.08,135.66,145.79,0.299,0.6337,0.7292
no_exercise,141.72,132.41,134.56,141.95,0.3037,0.6556,0.7107
no_exercise,141.6,135.17,134.11,141.24,0.3059,0.6603,0.702
no_exercise,143.49,135.14,133.02,141.72,0.308,0.672,0.7188
no_exercise,143.07,131.76,130.45,139.8,0.3082,0.6823,0.729
no_exercise,142.14,129.29,129.94,137.05,0.3087,0.6888,0.7647
no_exercise,141.63,129.76,130.55,139.39,0.3092,0.6869,0.7632
no_exercise,140.06,129.53,130.37,137.74,0.3087,0.7042,0.7722
no_exercise,141.71,130.1,131.33,139.2,0.3091,0.6975,0.7414
no_exercise,139.96,127.82,131.45,140.59,0.3087,0.6989,0.7198
no_exercise,139.69,125.49,131.04,137.64,0.3094,0.6977,0.7037
no_exercise,140.62,122.98,131.16,136.88,0.3104,0.6962,0.725
no_exercise,142.96,123.09,131.71,137.19,0.3116,0.6864,0.7276
no_exercise,143.73,124.99,130.77,137.3,0.312,0.6745,0.7283
no_exercise,146.56,128.25,131.11,137.41,0.3127,0.6744,0.724
no_exercise,147.04,130.07,132.24,139.18,0.3123,0.678,0.7134
no_exercise,147.46,129.51,132.77,136.9,0.3126,0.6748,0.7117
no_exercise,143.18,129.03,132.83,137.35,0.3121,0.6608,0.694
no_exercise,143.37,127.94,133.55,138.83,0.3109,0.6554,0.6727
no_exercise,141.86,126.54,132.35,137.07,0.3103,0.6609,0.6798
no_exercise,146.62,130.67,132.47,143.62,0.3087,0.642,0.6681
no_exercise,146.19,132.35,134.35,154.88,0.3107,0.6228,0.6818
no_exercise,148.56,133.27,137.03,156.13,0.32,0.6161,0.6903
no_exercise,144.32,131.72,138.26,157.98,0.3201,0.5971,0.6925
no_exercise,142.72,131.61,138.31,157.14,0.313,0.5785,0.6861
no_exercise,138.98,131.88,135.76,157.65,0.3243,0.5771,0.737
no_exercise,137.84,125.01,133.1,155.92,0.3294,0.5745,0.7606
no_exercise,135.13,131.77,133.24,158.41,0.3464,0.5934,0.7914
